ID,Original_Text,Selected_Text,Reason
1704316538500,"Avente / Abbiente can mean 'wealthy'",Abbiente,"'Abbiente' specifically means wealthy. 'Avente' is a grammatical term."
1704316538515,"In quel momento lui / lei ebbe","In quel momento lui ebbe","Selected masculine 'lui' as generic default."
1704316538666,"In quel momento io credei / credetti","In quel momento io credetti","Strong form (-etti) is preferred for Credere."
1704316538668,"In quel momento lui credé / credette","In quel momento lui credette","Strong form preferred."
1704316538671,"In quel momento loro crederono / credettero","In quel momento loro credettero","Strong form preferred."
1704316538849,"Vuoi! / Vogli!",Vuoi!,"Standard imperative."
1704316538858,"Ora io faccio / fo [rare]","Ora io faccio","'Fo' is rare/Tuscan dialect."
1704316538900,"Fai / Fa'!","Fai","'Fa'' is also correct, but 'Fai' is safer for TTS."
1704316538921,"In quel momento io potetti / potei","In quel momento io potei","For Potere, the weak form (potei) is standard."
1704316538923,"In quel momento lui potette / poté","In quel momento lui poté","Standard form."
1704316538926,"In quel momento loro potettero / poterono","In quel momento loro poterono","Standard form."
1704316539004,"Ora io devo / debbo","Ora io devo","'Debbo' is formal/literary."
1704316539009,"Ora loro devono / debbono","Ora loro devono","'Debbono' is formal."
1704316539016,"In quel momento io dovetti / dovei","In quel momento io dovetti","Strong form preferred for Dovere."
1704316539018,"In quel momento lui dovette / dové","In quel momento lui dovette","Strong form preferred."
1704316539021,"In quel momento loro dovettero / doverono","In quel momento loro dovettero","Strong form preferred."
1704316539034,"Sembra divertente che io debba / deva","Sembra divertente che io debba","'Deva' is archaic."
1704316539035,"Sembra divertente che tu debba / deva","Sembra divertente che tu debba","'Deva' is archaic."
1704316539036,"Sembra divertente che lui debba / deva","Sembra divertente che lui debba","'Deva' is archaic."
1704316539039,"Sembra divertente che loro debbano / devano","Sembra divertente che loro debbano","'Devano' is archaic."
1704316539092,"Vai / Va'!","Vai","Standard full form."
1704316539143,"Stai / Sta'!","Stai","Standard full form."
1704316539215,"In quel momento io diedi / detti","In quel momento io diedi","'Diedi' is most common."
1704316539217,"In quel momento lui diede / dette","In quel momento lui diede","'Diede' is most common."
1704316539220,"In quel momento loro diedero / dettero","In quel momento loro diedero","'Diedero' is most common."
1704316539245,"Dai / Da'!","Dai","Standard full form."
1704316539272,"Io udirò / udrò","Io udrò","Syncopated form is preferred for Udire."
1704316539273,"Tu udirai / udrai","Tu udrai","Syncopated form is preferred."
1704316539274,"Lui udirà / udrà","Lui udrà","Syncopated form is preferred."
1704316539275,"Noi udiremo / udremo","Noi udremo","Syncopated form is preferred."
1704316539276,"Voi udirete / udrete","Voi udrete","Syncopated form is preferred."
1704316539277,"Loro udiranno / udranno","Loro udranno","Syncopated form is preferred."
1704316539278,"Io udirei / udrei","Io udrei","Syncopated form is preferred."
1704316539279,"Tu udiresti / udresti","Tu udresti","Syncopated form is preferred."
1704316539280,"Lui udirebbe / udrebbe","Lui udrebbe","Syncopated form is preferred."
1704316539281,"Noi udiremmo / udremmo","Noi udremmo","Syncopated form is preferred."
1704316539282,"Voi udireste / udreste","Voi udreste","Syncopated form is preferred."
1704316539283,"Loro udirebbero / udrebbero","Loro udrebbero","Syncopated form is preferred."
1704316539406,"Venente / Veniente can mean 'which originates'","Veniente","'Venente' is archaic."
1704316539929,"In quel momento io parvi / parsi [rare]","In quel momento io parvi","Rare verb, but 'Parvi' is the historical standard."
1704316539931,"In quel momento lui parve / parse [rare]","In quel momento lui parve","Historical standard."
1704316539934,"In quel momento loro parvero / parsero [rare]","In quel momento loro parvero","Historical standard."
1704316539950,"Sembra divertente che noi paiamo / pariamo","Sembra divertente che noi paiamo","'Pariamo' is archaic."
1704316539951,"Sembra divertente che voi paiate / pariate","Sembra divertente che voi paiate","'Pariate' is archaic."
1704316539975,"In quel momento io bevvi [most common] / bevei / bevetti","In quel momento io bevvi","Must use strong form for Bere."
1704316539977,"In quel momento lui bevve [most common] / bevé / bevette","In quel momento lui bevve","Must use strong form."
1704316539980,"In quel momento loro bevvero [most common] / beverono / bevettero","In quel momento loro bevvero","Must use strong form."
1704316539981,"Io berrò / beverò [less common]","Io berrò","Must use syncopated/contracted form for Bere."
1704316539982,"Tu berrai / beverai [less common]","Tu berrai","Must use syncopated form."
1704316539983,"Lui berrà / beverà [less common]","Lui berrà","Must use syncopated form."
1704316539984,"Noi berremo / beveremo [less common]","Noi berremo","Must use syncopated form."
1704316539985,"Voi berrete / beverete [less common]","Voi berrete","Must use syncopated form."
1704316539986,"Loro berranno / beveranno [less common]","Loro berranno","Must use syncopated form."
1704316539987,"Io berrei / beverei","Io berrei","Must use syncopated form."
1704316539988,"Tu berresti / beveresti","Tu berresti","Must use syncopated form."
1704316539989,"Lui berrebbe / beverebbe","Lui berrebbe","Must use syncopated form."
1704316539990,"Noi berremmo / beveremmo","Noi berremmo","Must use syncopated form."
1704316539991,"Voi berreste / bevereste","Voi berreste","Must use syncopated form."
1704316539992,"Loro berrebbero / beverebbero","Loro berrebbero","Must use syncopated form."
1704316540014,"Ora io siedo / seggo [lit]","Ora io siedo","'Seggo' is literary."
1704316540019,"Ora loro siedono / seggono [lit]","Ora loro siedono","'Seggono' is literary."
1704316540026,"In quel momento io sedei / sedetti","In quel momento io sedetti","Strong form preferred."
1704316540028,"In quel momento lui sedé / sedette","In quel momento lui sedette","Strong form preferred."
1704316540031,"In quel momento loro sederono / sedettero","In quel momento loro sedettero","Strong form preferred."
1704316540032,"Io sederò / siederò","Io siederò","Regular form is now standard."
1704316540033,"Tu sederai / siederai","Tu siederai","Regular form is standard."
1704316540034,"Lui sederà / siederà","Lui siederà","Regular form is standard."
1704316540035,"Noi sederemo / siederemo","Noi siederemo","Regular form is standard."
1704316540036,"Voi sederete / siederete","Voi siederete","Regular form is standard."
1704316540037,"Loro sederanno / siederanno","Loro siederanno","Regular form is standard."
1704316540038,"Io sederei / siederei","Io siederei","Regular form is standard."
1704316540039,"Tu sederesti / siederesti","Tu sederesti","Regular form is standard."
1704316540040,"Lui sederebbe / siederebbe","Lui sederebbe","Regular form is standard."
1704316540041,"Noi sederemmo / siederemmo","Noi sederemmo","Regular form is standard."
1704316540042,"Voi sedereste / siedereste","Voi sedereste","Regular form is standard."
1704316540043,"Loro sederebbero / siederebbero","Loro sederebbero","Regular form is standard."
1704316540044,"Sembra divertente che io sieda / segga [lit]","Sembra divertente che io sieda","'Segga' is literary."
1704316540045,"Sembra divertente che tu sieda / segga [lit]","Sembra divertente che tu sieda","'Segga' is literary."
1704316540046,"Sembra divertente che lui sieda / segga [lit]","Sembra divertente che lui sieda","'Segga' is literary."
1704316540049,"Sembra divertente che loro siedano / seggano [lit]","Sembra divertente che loro siedano","'Seggano' is literary."
1704316540057,"Sieda! / Segga! [lit]","Sieda!","'Segga' is literary."
1704316540060,"Siedano! / Seggano! [lit]","Siedano!","'Seggano' is literary."
1704316540167,"Ora io appaio / apparisco","Ora io appaio","'Apparisco' is less common."
1704316540168,"Ora tu appari / apparisci","Ora tu appari","'Apparisci' is less common."
1704316540169,"Ora lui appare / apparisce","Ora lui appare","'Apparisce' is less common."
1704316540172,"Ora loro appaiono / appariscono","Ora loro appaiono","'Appariscono' is less common."
1704316540179,"In quel momento io apparvi / apparsi / apparii","In quel momento io apparvi","Strong form is standard."
1704316540181,"In quel momento lui apparve / apparse / apparì","In quel momento lui apparve","Strong form is standard."
1704316540184,"In quel momento loro apparvero / apparsero / apparirono","In quel momento loro apparvero","Strong form is standard."
1704316540197,"Sembra divertente che io appaia / apparisca","Sembra divertente che io appaia","'Apparisca' is less common."
1704316540198,"Sembra divertente che tu appaia / apparisca","Sembra divertente che tu appaia","'Apparisca' is less common."
1704316540199,"Sembra divertente che lui appaia / apparisca","Sembra divertente che lui appaia","'Apparisca' is less common."
1704316540202,"Sembra divertente che loro appaiano / appariscano","Sembra divertente che loro appaiano","'Appariscano' is less common."
1704316540209,"Appari! / Apparisci!","Appari!","'Apparisci' is less common."
1704316540210,"Appaia! / Apparisca!","Appaia!","'Apparisca' is less common."
1704316540213,"Appaiano! / Appariscano!","Appaiano!","'Appariscano' is less common."
1704316540236,"Io morirò / morrò","Io morirò","Regular form is standard in modern usage."
1704316540237,"Tu morirai / morrai","Tu morirai","Regular form."
1704316540238,"Lui morirà / morrà","Lui morirà","Regular form."
1704316540239,"Noi moriremo / morremo","Noi moriremo","Regular form."
1704316540240,"Voi morirete / morrete","Voi morirete","Regular form."
1704316540241,"Loro moriranno / morranno","Loro moriranno","Regular form."
1704316540242,"Io morirei / morrei","Io morirei","Regular form."
1704316540243,"Tu moriresti / morresti","Tu moriresti","Regular form."
1704316540244,"Lui morirebbe / morrebbe","Lui morirebbe","Regular form."
1704316540245,"Noi moriremmo / morremmo","Noi moriremmo","Regular form."
1704316540246,"Voi morireste / morreste","Voi morireste","Regular form."
1704316540247,"Loro morirebbero / morrebbero","Loro morirebbero","Regular form."
1704316540268,"Salente / Saliente can mean 'salient', 'noteworthy'",Saliente,"'Salente' is rarely used."
1704316540317,"Cuocendo / Cocendo",Cuocendo,"Modern standard retains the 'u'."
1704316540319,"Cocente / Cuocente can mean 'scorching'",Cocente,"Exception: 'Cocente' (scorching) never uses 'u'."
1704316540323,"Ora noi cuociamo / cociamo","Ora noi cuociamo","Modern standard retains the 'u'."
1704316540324,"Ora voi cuocete / cocete","Ora voi cuocete","Modern standard retains the 'u'."
1704316540326,"Io cuocevo / cocevo","Io cuocevo","Modern standard retains the 'u'."
1704316540327,"Tu cuocevi / cocevi","Tu cuocevi","Modern standard retains the 'u'."
1704316540328,"Lui cuoceva / coceva","Lui cuoceva","Modern standard retains the 'u'."
1704316540329,"Noi cuocevamo / cocevamo","Noi cuocevamo","Modern standard retains the 'u'."
1704316540330,"Voi cuocevate / cocevate","Voi cuocevate","Modern standard retains the 'u'."
1704316540331,"Loro cuocevano / cocevano","Loro cuocevano","Modern standard retains the 'u'."
1704316540333,"In quel momento tu cuocesti / cocesti","In quel momento tu cuocesti","Modern standard retains the 'u'."
1704316540335,"In quel momento noi cuocemmo / cocemmo","In quel momento noi cuocemmo","Modern standard retains the 'u'."
1704316540336,"In quel momento voi cuoceste / coceste","In quel momento voi cuoceste","Modern standard retains the 'u'."
1704316540338,"Io cuocerò / cocerò","Io cuocerò","Modern standard retains the 'u'."
1704316540339,"Tu cuocerai / cocerai","Tu cuocerai","Modern standard retains the 'u'."
1704316540340,"Lui cuocerà / cocerà","Lui cuocerà","Modern standard retains the 'u'."
1704316540341,"Noi cuoceremo / coceremo","Noi cuoceremo","Modern standard retains the 'u'."
1704316540342,"Voi cuocerete / cocerete","Voi cuocerete","Modern standard retains the 'u'."
1704316540343,"Loro cuoceranno / coceranno","Loro cuoceranno","Modern standard retains the 'u'."
1704316540344,"Io cuocerei / cocerei","Io cuocerei","Modern standard retains the 'u'."
1704316540345,"Tu cuoceresti / coceresti","Tu cuoceresti","Modern standard retains the 'u'."
1704316540346,"Lui cuocerebbe / cocerebbe","Lui cuocerebbe","Modern standard retains the 'u'."
1704316540347,"Noi cuoceremmo / coceremmo","Noi cuoceremmo","Modern standard retains the 'u'."
1704316540348,"Voi cuocereste / cocereste","Voi cuocereste","Modern standard retains the 'u'."
1704316540349,"Loro cuocerebbero / cocerebbero","Loro cuocerebbero","Modern standard retains the 'u'."
1704316540350,"Sembra divertente che io cuocia / cocia","Sembra divertente che io cuocia","Modern standard retains the 'u'."
1704316540351,"Sembra divertente che tu cuocia / cocia","Sembra divertente che tu cuocia","Modern standard retains the 'u'."
1704316540352,"Sembra divertente che lui cuocia / cocia","Sembra divertente che lui cuocia","Modern standard retains the 'u'."
1704316540353,"Sembra divertente che noi cuociamo / cociamo","Sembra divertente che noi cuociamo","Modern standard retains the 'u'."
1704316540354,"Sembra divertente che voi cuociate / cociate","Sembra divertente che voi cuociate","Modern standard retains the 'u'."
1704316540355,"Sembra divertente che loro cuociano / cociano","Sembra divertente che loro cuociano","Modern standard retains the 'u'."
1704316540356,"Era bello che io cuocessi / cocessi","Era bello che io cuocessi","Modern standard retains the 'u'."
1704316540357,"Era bello che tu cuocessi / cocessi","Era bello che tu cuocessi","Modern standard retains the 'u'."
1704316540358,"Era bello che lui cuocesse / cocesse","Era bello che lui cuocesse","Modern standard retains the 'u'."
1704316540359,"Era bello che noi cuocessimo / cocessimo","Era bello che noi cuocessimo","Modern standard retains the 'u'."
1704316540360,"Era bello che voi cuoceste / coceste","Era bello che voi cuoceste","Modern standard retains the 'u'."
1704316540361,"Era bello che loro cuocessero / cocessero","Era bello che loro cuocessero","Modern standard retains the 'u'."
1704316540364,"Cuociamo! / Cociamo!",Cuociamo!,"Modern standard retains the 'u'."
1704316540365,"Cuocete! / Cocete!",Cuocete!,"Modern standard retains the 'u'."
1704316540587,"In quel momento io aprii / apersi","In quel momento io aprii","For Aprire, 'aprii' is very common."
1704316540589,"In quel momento lui aprì / aperse","In quel momento lui aprì","Standard form."
1704316540592,"In quel momento loro aprirono / apersero","In quel momento loro aprirono","Standard form."
1704316540726,"Avere perso / avere perduto","Avere perso","'Perso' is the common modern usage."
1704316540740,"In quel momento io persi / perdei / perdetti","In quel momento io persi","Strong form preferred."
1704316540742,"In quel momento lui perse / perdé / perdette","In quel momento lui perse","Strong form preferred."
1704316540745,"In quel momento loro persero / perderono / perdettero","In quel momento loro persero","Strong form preferred."
1704316541292,"Ora noi doliamo / dogliamo","Ora noi doliamo","'Dogliamo' is archaic."
1704316541322,"Sembra divertente che noi doliamo / dogliamo","Sembra divertente che noi doliamo","'Dogliamo' is archaic."
1704316541323,"Sembra divertente che voi doliate / dogliate","Sembra divertente che voi doliate","'Dogliate' is archaic."
1704316541333,"Doliamo! / Dogliamo!",Doliamo!,"'Dogliamo' is archaic."